Java HotSpot(TM) 64-Bit Server VM (25.121-b13) for linux-amd64 JRE (1.8.0_121-b13), built on Dec 12 2016 16:36:53 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
2017-05-07T20:21:49.574+0800: 5.055: [GC (Allocation Failure) [PSYoungGen: 690024K->4566K(694272K)] 694795K->9421K(2092544K), 0.0013094 secs] [Times: user=0.00 sys=0.01, real=0.01 secs] 
2017-05-07T20:21:49.806+0800: 5.287: [GC (Allocation Failure) [PSYoungGen: 694230K->466K(693248K)] 699085K->9581K(2091520K), 0.0023030 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2017-05-07T20:21:49.996+0800: 5.477: [GC (Allocation Failure) [PSYoungGen: 689078K->382K(693760K)] 698192K->9596K(2092032K), 0.0005372 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:50.173+0800: 5.654: [GC (Allocation Failure) [PSYoungGen: 689022K->424K(694272K)] 698236K->9647K(2092544K), 0.0005489 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:50.347+0800: 5.829: [GC (Allocation Failure) [PSYoungGen: 689576K->350K(693760K)] 698799K->9716K(2092032K), 0.0004852 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:50.526+0800: 6.008: [GC (Allocation Failure) [PSYoungGen: 689502K->148K(694784K)] 698868K->9692K(2093056K), 0.0005150 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:50.707+0800: 6.188: [GC (Allocation Failure) [PSYoungGen: 690324K->191K(694272K)] 699868K->9784K(2092544K), 0.0005801 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:50.888+0800: 6.369: [GC (Allocation Failure) [PSYoungGen: 690367K->477K(694784K)] 699960K->10071K(2093056K), 0.0006774 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:51.075+0800: 6.557: [GC (Allocation Failure) [PSYoungGen: 691165K->392K(694784K)] 700759K->9986K(2093056K), 0.0005621 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:51.265+0800: 6.747: [GC (Allocation Failure) [PSYoungGen: 691080K->370K(695296K)] 700674K->10015K(2093568K), 0.0007046 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2017-05-07T20:21:51.456+0800: 6.938: [GC (Allocation Failure) [PSYoungGen: 692082K->424K(695296K)] 701727K->10068K(2093568K), 0.0006086 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:51.649+0800: 7.130: [GC (Allocation Failure) [PSYoungGen: 692133K->466K(695808K)] 701777K->10111K(2094080K), 0.0005661 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:51.843+0800: 7.324: [GC (Allocation Failure) [PSYoungGen: 693150K->286K(695808K)] 702794K->10031K(2094080K), 0.0006116 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:52.035+0800: 7.516: [GC (Allocation Failure) [PSYoungGen: 692990K->350K(696320K)] 702735K->10230K(2094592K), 0.0006298 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:52.226+0800: 7.707: [GC (Allocation Failure) [PSYoungGen: 693598K->466K(695808K)] 703478K->10346K(2094080K), 0.0005209 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:52.418+0800: 7.900: [GC (Allocation Failure) [PSYoungGen: 693702K->382K(696320K)] 703582K->10262K(2094592K), 0.0015178 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:52.604+0800: 8.085: [GC (Allocation Failure) [PSYoungGen: 694142K->477K(696320K)] 704022K->10357K(2094592K), 0.0026431 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2017-05-07T20:21:52.801+0800: 8.283: [GC (Allocation Failure) [PSYoungGen: 694237K->392K(696832K)] 704117K->10272K(2095104K), 0.0006727 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:52.990+0800: 8.471: [GC (Allocation Failure) [PSYoungGen: 695173K->360K(696832K)] 705053K->10240K(2095104K), 0.0013611 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:53.187+0800: 8.668: [GC (Allocation Failure) [PSYoungGen: 695144K->424K(696832K)] 705024K->10304K(2095104K), 0.0005227 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
